session_id,user_id,session_start,session_end,platform,country
s_7614,2818,2025-11-25 03:08:00,2025-11-25 03:16:00,desktop,GB
s_3540,1332,2025-12-21 11:32:00,2025-12-21 12:01:00,web,BR
s_7352,2726,2025-12-08 08:38:00,2025-12-08 08:43:00,desktop,DE
s_2019,778,2025-12-04 10:00:00,2025-12-04 10:09:00,web,JP
s_7851,2905,2025-12-21 08:12:00,2025-12-21 08:15:00,desktop,SG
s_3054,1160,2025-12-19 05:37:00,2025-12-19 05:45:00,web,IN
s_707,268,2025-12-01 20:00:00,2025-12-01 20:13:00,web,US
s_6758,2503,2025-11-25 08:00:00,2025-11-25 08:04:00,desktop,BR
s_1047,396,2025-12-19 11:00:00,2025-12-19 11:05:00,web,IN
s_4948,1842,2025-11-18 04:00:00,2025-11-18 04:11:00,web,SG
s_1884,729,2025-11-20 10:49:00,2025-11-20 11:04:00,web,JP
s_4395,1645,2025-10-30 21:00:00,2025-10-30 21:10:00,web,SG
s_2856,1089,2025-12-27 07:00:00,2025-12-27 07:10:00,web,US
s_6271,2326,2025-12-22 06:00:00,2025-12-22 06:06:00,web,US
s_1085,411,2025-11-11 22:00:00,2025-11-11 22:07:00,web,DE
s_4300,1600,2025-12-17 23:00:00,2025-12-17 23:14:00,web,GB
s_7688,2843,2025-12-21 12:41:00,2025-12-21 12:51:00,web,US
s_3791,1424,2025-12-11 03:30:00,2025-12-11 03:38:00,web,US
s_1953,751,2025-11-19 12:19:00,2025-11-19 12:24:00,web,DE
s_1560,612,2025-12-08 05:00:00,2025-12-08 05:11:00,web,BR
s_6404,2373,2025-12-02 17:00:00,2025-12-02 17:07:00,desktop,AU
s_7034,2609,2025-12-02 15:00:00,2025-12-02 15:07:00,web,SG
s_7296,2707,2025-12-22 22:12:00,2025-12-22 22:14:00,web,US
s_2482,949,2025-12-15 02:00:00,2025-12-15 02:08:00,desktop,SG
s_2816,1075,2025-12-24 22:00:00,2025-12-24 22:21:00,web,US
s_66,26,2025-12-08 02:00:00,2025-12-08 02:13:00,web,DE
s_7195,2671,2025-11-29 20:06:00,2025-11-29 20:20:00,desktop,US
s_6719,2488,2025-12-13 20:00:00,2025-12-13 20:10:00,web,IN
s_5004,1861,2025-12-08 03:00:00,2025-12-08 03:13:00,web,CA
s_473,182,2025-11-06 19:45:00,2025-11-06 20:07:00,web,JP
s_6676,2477,2025-11-08 06:56:00,2025-11-08 07:00:00,web,US
s_3659,1380,2025-11-27 04:00:00,2025-11-27 04:11:00,web,SG
s_3378,1277,2025-11-14 15:39:00,2025-11-14 15:52:00,desktop,IN
s_6731,2494,2025-12-02 17:27:00,2025-12-02 17:43:00,web,US
s_7557,2799,2025-12-24 17:00:00,2025-12-24 17:08:00,web,SG
s_1729,672,2025-12-17 10:00:00,2025-12-17 10:10:00,desktop,US
s_5831,2180,2025-11-22 07:00:00,2025-11-22 07:03:00,web,SG
s_2518,965,2025-11-11 18:13:00,2025-11-11 18:24:00,web,US
s_7085,2631,2025-12-23 10:17:00,2025-12-23 10:20:00,desktop,US
s_7788,2883,2025-11-23 20:54:00,2025-11-23 21:05:00,desktop,US
s_2465,944,2025-12-19 10:49:00,2025-12-19 11:06:00,web,CA
s_6474,2404,2025-11-17 09:29:00,2025-11-17 09:37:00,web,IN
s_7464,2766,2025-12-22 20:00:00,2025-12-22 20:13:00,web,IN
s_7637,2826,2025-12-14 02:00:00,2025-12-14 02:08:00,desktop,DE
s_223,87,2025-12-15 00:38:00,2025-12-15 00:49:00,web,IN
s_8060,2986,2025-12-23 20:00:00,2025-12-23 20:03:00,desktop,IN
s_6742,2496,2025-11-21 01:00:00,2025-11-21 01:04:00,web,AU
s_6819,2519,2025-12-02 04:00:00,2025-12-02 04:15:00,desktop,IN
s_541,204,2025-12-17 20:57:00,2025-12-17 21:04:00,desktop,IN
s_7101,2636,2025-12-03 00:29:00,2025-12-03 00:36:00,desktop,CA
s_8046,2982,2025-11-07 00:00:00,2025-11-07 00:04:00,web,GB
s_7779,2878,2025-12-22 19:06:00,2025-12-22 19:16:00,web,IN
s_4231,1569,2025-11-28 02:00:00,2025-11-28 02:11:00,web,US
s_7609,2816,2025-12-06 21:00:00,2025-12-06 21:12:00,desktop,IN
s_5669,2120,2025-12-17 09:00:00,2025-12-17 09:04:00,desktop,US
s_6895,2550,2025-11-23 04:03:00,2025-11-23 04:18:00,desktop,US
s_3321,1254,2025-11-12 02:13:00,2025-11-12 02:29:00,web,BR
s_24,9,2025-11-27 05:00:00,2025-11-27 05:10:00,web,GB
s_1421,553,2025-11-22 20:00:00,2025-11-22 20:12:00,web,AU
s_3541,1332,2025-12-13 11:32:00,2025-12-13 11:39:00,web,BR
s_6249,2319,2025-12-11 04:39:00,2025-12-11 04:48:00,web,DE
s_3909,1468,2025-11-15 21:00:00,2025-11-15 21:09:00,web,IN
s_1673,651,2025-11-13 23:25:00,2025-11-13 23:34:00,desktop,AU
s_4913,1829,2025-12-25 06:02:00,2025-12-25 06:06:00,desktop,DE
s_3035,1155,2025-11-26 05:00:00,2025-11-26 05:09:00,web,IN
s_6218,2307,2025-12-14 22:18:00,2025-12-14 22:33:00,web,US
s_4802,1791,2025-11-12 17:50:00,2025-11-12 17:57:00,web,CA
s_6301,2337,2025-11-18 13:00:00,2025-11-18 13:04:00,desktop,JP
s_5473,2046,2025-12-03 22:00:00,2025-12-03 22:21:00,desktop,DE
s_4825,1799,2025-11-04 06:57:00,2025-11-04 07:14:00,web,SG
s_4415,1656,2025-12-20 18:00:00,2025-12-20 18:09:00,desktop,SG
s_1563,613,2025-12-06 11:26:00,2025-12-06 11:39:00,web,US
s_5005,1862,2025-12-02 18:01:00,2025-12-02 18:09:00,desktop,US
s_5667,2120,2025-12-16 01:00:00,2025-12-16 01:34:00,desktop,US
s_3056,1161,2025-12-11 07:00:00,2025-12-11 07:16:00,web,BR
s_2288,876,2025-11-21 08:56:00,2025-11-21 08:59:00,web,US
s_1508,590,2025-11-25 11:09:00,2025-11-25 11:26:00,desktop,IN
s_7875,2913,2025-12-08 16:43:00,2025-12-08 16:46:00,web,BR
s_1455,566,2025-11-26 14:00:00,2025-11-26 14:12:00,web,US
s_1596,626,2025-12-04 08:04:00,2025-12-04 08:15:00,web,US
s_7141,2654,2025-12-11 10:12:00,2025-12-11 10:20:00,web,BR
s_4651,1735,2025-12-09 20:16:00,2025-12-09 20:22:00,web,US
s_1321,511,2025-11-27 01:00:00,2025-11-27 01:11:00,desktop,BR
s_5254,1958,2025-11-15 11:00:00,2025-11-15 11:37:00,desktop,AU
s_2772,1060,2025-11-27 11:00:00,2025-11-27 11:24:00,web,IN
s_3476,1312,2025-12-17 11:29:00,2025-12-17 11:40:00,desktop,GB
s_4968,1849,2025-12-15 00:00:00,2025-12-15 00:09:00,desktop,BR
s_1833,709,2025-11-09 08:47:00,2025-11-09 08:57:00,web,US
s_2671,1027,2025-12-14 02:00:00,2025-12-14 02:04:00,web,US
s_7109,2639,2025-12-23 19:00:00,2025-12-23 19:08:00,web,IN
s_7711,2854,2025-12-18 22:00:00,2025-12-18 22:11:00,web,SG
s_6061,2255,2025-12-16 12:00:00,2025-12-16 12:14:00,desktop,IN
s_5031,1873,2025-11-22 01:00:00,2025-11-22 01:38:00,desktop,SG
s_350,133,2025-12-11 10:28:00,2025-12-11 10:38:00,web,SG
s_1164,444,2025-12-05 06:07:00,2025-12-05 06:18:00,desktop,IN
s_1043,394,2025-12-13 13:42:00,2025-12-13 14:04:00,web,US
s_2639,1017,2025-12-21 20:15:00,2025-12-21 20:40:00,web,GB
s_7463,2765,2025-11-06 15:26:00,2025-11-06 15:34:00,desktop,SG
s_2822,1076,2025-12-23 16:38:00,2025-12-23 16:46:00,desktop,GB
s_2779,1061,2025-12-16 03:00:00,2025-12-16 03:07:00,web,IN
s_133,47,2025-12-06 19:14:00,2025-12-06 19:19:00,web,IN
s_1303,505,2025-12-02 03:00:00,2025-12-02 03:04:00,web,BR
s_1181,450,2025-12-04 18:14:00,2025-12-04 18:21:00,web,IN
s_3951,1482,2025-11-03 06:03:00,2025-11-03 06:19:00,desktop,US
s_3752,1412,2025-12-05 07:38:00,2025-12-05 07:54:00,web,SG
s_7794,2885,2025-10-31 01:40:00,2025-10-31 01:49:00,desktop,US
s_4819,1797,2025-12-24 12:15:00,2025-12-24 12:22:00,desktop,US
s_3591,1348,2025-12-03 02:15:00,2025-12-03 02:29:00,desktop,US
s_497,189,2025-12-15 20:20:00,2025-12-15 20:24:00,web,SG
s_8091,3000,2025-12-15 08:00:00,2025-12-15 08:13:00,desktop,SG
s_3214,1218,2025-12-11 18:51:00,2025-12-11 18:54:00,web,DE
s_5330,1985,2025-11-29 16:25:00,2025-11-29 16:40:00,web,IN
s_4575,1710,2025-11-29 07:00:00,2025-11-29 07:07:00,web,AU
s_3862,1449,2025-12-21 14:00:00,2025-12-21 14:12:00,web,SG
s_4232,1570,2025-11-17 18:27:00,2025-11-17 18:38:00,desktop,CA
s_3443,1302,2025-12-19 07:00:00,2025-12-19 07:12:00,desktop,IN
s_7623,2819,2025-12-08 09:20:00,2025-12-08 09:28:00,desktop,IN
s_3239,1227,2025-12-25 11:19:00,2025-12-25 11:29:00,web,US
s_1794,695,2025-11-15 15:21:00,2025-11-15 15:27:00,desktop,GB
s_2846,1086,2025-11-17 22:00:00,2025-11-17 22:11:00,web,US
s_320,123,2025-11-10 22:00:00,2025-11-10 22:08:00,desktop,BR
s_5892,2199,2025-11-24 00:00:00,2025-11-24 00:04:00,web,SG
s_5715,2135,2025-12-10 20:45:00,2025-12-10 20:53:00,desktop,US
s_3965,1486,2025-12-20 05:14:00,2025-12-20 05:31:00,web,AU
s_5493,2058,2025-12-16 20:44:00,2025-12-16 20:49:00,web,DE
s_5810,2172,2025-12-13 10:18:00,2025-12-13 10:32:00,web,IN
s_4230,1568,2025-12-19 13:26:00,2025-12-19 13:46:00,web,US
s_38,14,2025-11-18 03:13:00,2025-11-18 03:28:00,web,DE
s_6496,2411,2025-12-02 05:00:00,2025-12-02 05:08:00,web,US
s_4521,1690,2025-12-07 13:00:00,2025-12-07 13:02:00,desktop,SG
s_2761,1056,2025-12-09 22:10:00,2025-12-09 22:21:00,desktop,US
s_5671,2120,2025-12-16 16:00:00,2025-12-16 16:08:00,desktop,US
s_1018,386,2025-12-08 19:00:00,2025-12-08 19:10:00,web,SG
s_1006,383,2025-12-19 10:34:00,2025-12-19 10:38:00,desktop,JP
s_1804,699,2025-12-08 04:51:00,2025-12-08 04:58:00,desktop,US
s_6563,2436,2025-11-29 18:24:00,2025-11-29 18:31:00,web,JP
s_2524,967,2025-12-03 16:00:00,2025-12-03 16:05:00,web,BR
s_7018,2600,2025-11-20 12:03:00,2025-11-20 12:14:00,web,IN
s_3978,1489,2025-11-28 10:41:00,2025-11-28 11:10:00,web,AU
s_96,35,2025-12-23 08:00:00,2025-12-23 08:07:00,desktop,IN
s_1324,513,2025-12-21 07:00:00,2025-12-21 07:12:00,desktop,GB
s_6320,2340,2025-12-22 08:55:00,2025-12-22 09:07:00,desktop,SG
s_4950,1843,2025-12-20 03:11:00,2025-12-20 03:36:00,desktop,JP
s_7901,2924,2025-11-11 16:01:00,2025-11-11 16:03:00,web,US
s_7485,2775,2025-11-25 11:45:00,2025-11-25 12:05:00,web,GB
s_6168,2294,2025-11-21 06:00:00,2025-11-21 06:17:00,web,IN
s_1184,451,2025-12-07 14:00:00,2025-12-07 14:22:00,web,GB
s_7713,2855,2025-11-28 12:24:00,2025-11-28 12:42:00,desktop,BR
s_1619,632,2025-12-18 17:00:00,2025-12-18 17:04:00,web,GB
s_7867,2911,2025-11-15 14:46:00,2025-11-15 14:51:00,desktop,AU
s_7906,2925,2025-11-17 20:49:00,2025-11-17 20:57:00,web,IN
s_4897,1821,2025-11-28 06:39:00,2025-11-28 06:44:00,desktop,SG
s_7911,2927,2025-12-10 08:00:00,2025-12-10 08:15:00,web,DE
s_4326,1613,2025-11-21 17:00:00,2025-11-21 17:12:00,web,DE
s_466,178,2025-11-23 09:40:00,2025-11-23 09:51:00,web,US
s_252,102,2025-11-27 16:00:00,2025-11-27 16:19:00,desktop,SG
s_5186,1933,2025-11-23 22:00:00,2025-11-23 22:09:00,web,IN
s_335,128,2025-12-14 04:00:00,2025-12-14 04:06:00,desktop,SG
s_3134,1190,2025-12-03 12:00:00,2025-12-03 12:07:00,desktop,US
s_1323,512,2025-11-16 18:08:00,2025-11-16 18:25:00,web,US
s_5318,1980,2025-12-13 13:00:00,2025-12-13 13:10:00,web,DE
s_5747,2147,2025-11-17 20:00:00,2025-11-17 20:26:00,web,SG
s_2543,975,2025-12-05 21:07:00,2025-12-05 21:17:00,web,US
s_1045,396,2025-12-20 05:00:00,2025-12-20 05:05:00,web,IN
s_3081,1169,2025-11-13 20:32:00,2025-11-13 20:38:00,desktop,US
s_484,184,2025-12-14 18:00:00,2025-12-14 18:04:00,web,GB
s_998,381,2025-12-09 16:59:00,2025-12-09 17:09:00,web,US
s_4392,1643,2025-12-23 10:24:00,2025-12-23 10:41:00,web,IN
s_6120,2278,2025-11-21 22:00:00,2025-11-21 22:03:00,web,IN
s_6612,2454,2025-11-16 08:38:00,2025-11-16 08:49:00,web,IN
s_4035,1505,2025-12-18 10:05:00,2025-12-18 10:28:00,web,US
s_6733,2495,2025-11-22 00:00:00,2025-11-22 00:06:00,desktop,DE
s_4592,1715,2025-12-23 02:01:00,2025-12-23 02:07:00,desktop,US
